date,eur_usd,inventory,production,rigs,inflation,wti_6m_rolling,wti_12m_rolling,wti_6m_lag,wti
2010-03-01,1.357004347826087,327621.14746543777,5515.0,1419.0,2.3,77.34868178351016,70.58444136073055,69.40809523809523,81.20347826086957
2010-04-01,1.3416818181818182,335910.28095238097,5392.0,1479.0,2.2,78.77824888307727,73.47162390041309,75.71545454545455,84.29285714285714
2010-05-01,1.256315,342420.20276497694,5401.0,1513.0,2.0,78.07049888307726,74.69787390041309,77.99,73.7435
2010-06-01,1.2223363636363638,342362.87142857147,5380.0,1531.0,1.1,78.21481706489544,75.17245723374641,74.47,75.3359090909091
2010-07-01,1.281057142857143,335929.75115207373,5298.0,1573.0,1.2,77.88043945420205,76.18639482393401,78.32578947368421,76.31952380952382
2010-08-01,1.2902909090909092,336806.8571428571,5447.0,1638.0,1.1,77.91572653554176,76.64925557429476,76.38736842105263,76.59909090909092
2010-09-01,1.3102857142857145,338046.6904761905,5616.0,1655.0,1.1,76.92213095238095,77.13540636794556,81.20347826086957,75.24190476190476
2010-10-01,1.390095,342682.1198156682,5631.0,1668.0,1.2,76.52213095238095,77.65018991772911,84.29285714285714,81.89285714285714
2010-11-01,1.365425,339276.6523809524,5576.0,1683.0,1.1,78.27369047619048,78.17209467963387,73.7435,84.25285714285714
2010-12-01,1.3221333333333334,322554.5069124424,5607.0,1711.0,1.5,80.57535714285713,79.39508710387629,75.3359090909091,89.14590909090909
2011-01-01,1.337065,316350.65898617514,5497.0,1711.0,1.6,82.7171865079365,80.29881298106928,76.31952380952382,89.1705
2011-02-01,1.365589473684211,324385.71428571426,5406.0,1718.0,2.1,84.71374153185995,81.31473403370086,76.59909090909092,88.57842105263158
2011-03-01,1.4019826086956524,330659.24423963134,5618.0,1720.0,2.7,89.31617769473091,83.11915432355592,75.24190476190476,102.85652173913044
2011-04-01,1.4459761904761903,338525.32857142854,5562.0,1790.0,3.2,93.92278483758804,85.2224578949845,81.89285714285714,109.5325
2011-05-01,1.433452380952381,348615.6129032258,5625.0,1836.0,3.6,96.69738801219121,87.48553924419086,84.25285714285714,100.90047619047618
2011-06-01,1.4402863636363636,341723.17142857146,5589.0,1863.0,3.6,97.88375164855485,89.22955439570599,89.14590909090909,96.26409090909092
2011-07-01,1.4275,332482.4930875576,5440.0,1900.0,3.6,99.23925164855484,90.97821907824567,89.1705,97.3035
2011-08-01,1.4333173913043478,331299.8018433179,5665.0,1957.0,3.8,98.8650220528264,91.78938179234318,88.57842105263158,86.33304347826088
2011-09-01,1.3746714285714283,321254.8952380952,5614.0,1978.0,3.9,95.97480811217768,92.64549290345428,102.85652173913044,85.51523809523809
2011-10-01,1.373245,314758.96313364053,5902.0,2017.0,3.5,92.1064549375745,93.01461988758128,109.5325,86.32238095238095
2011-11-01,1.35576,312999.64285714284,6039.0,2011.0,3.4,91.48312160424116,94.09025480821619,100.90047619047618,97.1604761904762
2011-12-01,1.3154571428571429,307394.92165898613,6112.0,2003.0,3.0,91.86624930986888,94.87500047921186,96.26409090909092,98.56285714285715
2012-01-01,1.290985,309302.4193548387,6177.0,2003.0,2.9,92.36124930986888,95.80025047921187,97.3035,100.2735
2012-02-01,1.323835,315756.7389162562,6268.0,1990.0,2.9,95.00640873015873,96.93571539149258,86.33304347826088,102.204
2012-03-01,1.32075,325077.6912442396,6327.0,1979.0,2.7,98.44682359307359,97.21081585262563,85.51523809523809,106.15772727272729
2012-04-01,1.3160190476190476,344563.0952380952,6320.0,1962.0,2.3,101.27992676767677,96.69319085262562,86.32238095238095,103.321
2012-05-01,1.2806454545454544,357868.72811059904,6370.0,1977.0,1.7,100.86227164502164,96.1726966246314,97.1604761904762,94.65454545454546
2012-06-01,1.254133333333333,359659.44761904766,6275.0,1972.0,1.7,98.15235101010101,95.00930015998495,98.56285714285715,82.30333333333333
2012-07-01,1.2277619047619048,351432.0875576037,6431.0,1944.0,1.4,96.08930735930737,94.22527833458811,100.2735,87.8952380952381
2012-08-01,1.2406217391304348,338133.0599078341,6351.0,1913.0,1.7,94.74385808394504,94.8751334070519,102.204,94.13130434782607
2012-09-01,1.288457894736842,336887.7,6598.0,1859.0,2.0,92.80318424024487,95.62500391665924,106.15772727272729,94.51368421052632
2012-10-01,1.2973818181818182,344200.5806451613,6970.0,1834.0,2.2,90.49823496488257,95.88908086627966,103.321,89.4913043478261
2012-11-01,1.28374,347429.0333333333,7082.0,1809.0,1.8,89.14438215102975,95.00332689802569,94.65454545454546,86.53142857142858
2012-12-01,1.311945,341491.4700460829,7106.0,1784.0,1.7,90.07040992880754,94.11138046945426,82.30333333333333,87.8595
